                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     43,                 1.8177,                  2.239,                 1.6095,                0.37334,                  0.385,                 0.2681,                 0.1569,                 1.6217,                 2.0424,                 1.5558,             0.00061283,             0.00061283,             0.00061283
                     44,                 1.7894,                 2.1415,                 1.5342,                0.26287,                0.31529,                0.27244,                0.15531,                 1.6033,                 2.0504,                 1.5376,             0.00061154,             0.00061154,             0.00061154
                     45,                 1.7861,                 2.1895,                 1.5425,                0.33674,                0.31455,                0.29058,                0.17716,                  1.535,                 2.0463,                 1.4999,             0.00061025,             0.00061025,             0.00061025
                     46,                 1.7211,                 2.1224,                 1.5128,                0.40479,                0.36421,                0.31296,                0.19163,                 1.5275,                 2.0062,                 1.4831,             0.00060896,             0.00060896,             0.00060896
                     47,                  1.743,                 2.1242,                 1.5093,                0.45495,                0.37338,                 0.3393,                0.21078,                 1.4771,                 1.8964,                  1.462,             0.00060767,             0.00060767,             0.00060767
                     48,                 1.7178,                 2.1179,                 1.5179,                 0.3243,                0.39287,                0.33225,                0.20342,                 1.5069,                 1.8691,                 1.4758,             0.00060638,             0.00060638,             0.00060638
                     49,                 1.6927,                 2.0513,                 1.4745,                0.39192,                0.37872,                0.31643,                0.19539,                 1.5046,                 1.8573,                 1.4727,             0.00060509,             0.00060509,             0.00060509
                     50,                 1.7458,                 2.1236,                 1.5011,                0.39833,                0.38957,                0.34004,                0.21293,                 1.4707,                 1.8685,                 1.4545,              0.0006038,              0.0006038,              0.0006038
                     51,                 1.7134,                 2.0774,                 1.4835,                0.33071,                0.39913,                 0.3189,                0.20032,                 1.4726,                 1.8547,                 1.4512,             0.00060251,             0.00060251,             0.00060251
                     52,                 1.6874,                 2.0384,                 1.5231,                0.42204,                0.39681,                0.35617,                0.22062,                  1.484,                 1.8708,                 1.4502,             0.00060122,             0.00060122,             0.00060122
                     53,                 1.6535,                 1.9874,                 1.4633,                0.37141,                0.43027,                0.36979,                0.23516,                 1.4375,                 1.7317,                 1.4173,             0.00059994,             0.00059994,             0.00059994
                     54,                 1.7035,                 2.0455,                 1.4774,                0.37261,                 0.4515,                0.36876,                  0.228,                  1.445,                 1.8026,                 1.4178,             0.00059865,             0.00059865,             0.00059865
                     55,                 1.6555,                 1.9509,                 1.4213,                0.40169,                0.45549,                0.41362,                0.25139,                 1.4895,                 1.7149,                 1.4402,             0.00059736,             0.00059736,             0.00059736
                     56,                 1.6649,                 1.9188,                   1.46,                 0.3586,                0.45893,                0.38159,                0.22882,                 1.4639,                  1.761,                 1.4495,             0.00059607,             0.00059607,             0.00059607
                     57,                 1.5674,                  1.897,                 1.4429,                0.40898,                0.46067,                0.41163,                0.25718,                 1.4237,                 1.7223,                 1.4127,             0.00059478,             0.00059478,             0.00059478
                     58,                 1.5913,                 1.8697,                 1.3664,                0.43048,                0.49317,                0.41874,                0.26556,                 1.3948,                 1.6784,                 1.3798,             0.00059349,             0.00059349,             0.00059349
                     59,                  1.619,                 1.9602,                 1.4528,                0.40787,                 0.4618,                0.40832,                0.26003,                 1.3913,                  1.705,                  1.376,              0.0005922,              0.0005922,              0.0005922
                     60,                 1.5826,                 1.8685,                 1.3989,                0.41911,                0.48599,                0.41777,                0.27091,                 1.3811,                 1.6516,                 1.3698,             0.00059091,             0.00059091,             0.00059091
                     61,                 1.5523,                 1.9151,                 1.4525,                0.42961,                 0.5147,                0.44077,                0.28226,                 1.3559,                 1.6423,                 1.3633,             0.00058962,             0.00058962,             0.00058962
                     62,                  1.564,                 1.8475,                 1.3927,                0.48445,                0.47379,                 0.4617,                0.30225,                  1.325,                 1.6125,                 1.3535,             0.00058833,             0.00058833,             0.00058833
                     63,                  1.546,                 1.8058,                 1.3834,                0.49226,                0.48699,                0.48077,                0.31596,                 1.3455,                 1.6117,                 1.3427,             0.00058704,             0.00058704,             0.00058704
                     64,                 1.5341,                 1.8116,                 1.3964,                0.41787,                0.49171,                0.47799,                0.30893,                 1.3724,                 1.6019,                 1.3421,             0.00058575,             0.00058575,             0.00058575
                     65,                 1.5016,                 1.7986,                 1.3532,                0.54032,                0.53472,                 0.5076,                0.34232,                 1.2925,                 1.5694,                 1.3078,             0.00058446,             0.00058446,             0.00058446
                     66,                 1.5426,                 1.7492,                 1.3771,                0.56228,                0.52043,                0.50806,                0.33009,                  1.345,                 1.5321,                 1.3458,             0.00058317,             0.00058317,             0.00058317
                     67,                 1.5197,                 1.7634,                 1.3561,                0.53108,                0.50392,                0.51245,                0.33176,                 1.3244,                 1.5601,                 1.3268,             0.00058188,             0.00058188,             0.00058188
                     68,                 1.4892,                 1.7356,                 1.3862,                0.52576,                0.50563,                 0.5147,                0.34415,                 1.3022,                  1.519,                 1.3044,             0.00058059,             0.00058059,             0.00058059
                     69,                 1.4257,                  1.646,                  1.304,                0.47328,                0.53815,                0.53326,                0.35154,                 1.3029,                 1.5151,                 1.3138,              0.0005793,              0.0005793,              0.0005793
